ies,curso,area,municipio,N,fracN,idd,cpc,cpcf,ano
18,90207,19,4314407,8.0,0.800000011920929,0.46353137493133545,3.0453151510109095,4,2016
18,89467,23,4314407,30.0,0.8333333134651184,-1.086456060409546,2.784528955930847,3,2016
18,64838,36,4314407,20.0,0.9090909361839294,-0.5268089771270752,2.768887903901257,3,2016
18,1526,38,4314407,29.0,0.90625,0.09220003336668015,3.1113985939328184,4,2016
19,1631,6,3509502,69.0,0.9078947305679321,-0.20133768022060394,2.9142158073797306,3,2016
19,1629,12,3509502,128.0,0.9624060392379761,-1.7104792594909668,1.6385206155937688,2,2016
19,52589,19,3509502,29.0,0.9354838728904724,-0.3182866871356964,2.811492976952965,3,2016
19,1627,23,3509502,50.0,0.8928571343421936,0.3079020380973816,3.0954303626945863,4,2016
19,1644,27,3509502,16.0,0.8888888955116272,0.5015610456466675,2.592131751458832,3,2016
19,1630,28,3509502,22.0,0.8461538553237915,0.5678316950798035,2.9966275858539486,4,2016
19,1628,36,3509502,32.0,0.8888888955116272,0.005910713225603104,2.8663987932807897,3,2016
19,1650,38,3509502,28.0,0.800000011920929,0.23768925666809082,2.895425933097582,3,2016
19,301641,3501,3509502,17.0,0.39534884691238403,-1.8233743906021118,2.4495450077311585,3,2016
20,18484,5,4314100,66.0,0.75,0.3928583562374115,2.93660096150972,3,2016
20,1726,6,4314100,52.0,0.9122806787490845,0.13837333023548126,2.9912325428314923,4,2016
20,1725,12,4314100,59.0,0.6344085931777954,0.42638519406318665,2.4270367462300713,3,2016
20,1728,17,4314100,56.0,0.7272727489471436,0.2142748385667801,2.995142179278279,4,2016
20,18483,19,4314100,22.0,0.8799999952316284,1.1202832460403442,3.2285603724807617,4,2016
20,1727,23,4314100,45.0,0.957446813583374,0.4350188672542572,2.8176467661019315,3,2016
20,64832,27,4314100,36.0,1.0,-0.3594999611377716,2.0262624562363114,3,2016
20,64836,28,4314100,20.0,0.8695651888847351,-0.3361011743545532,2.5833683152166893,3,2016
20,20949,36,4314100,41.0,0.9111111164093018,0.08771410584449768,2.836808026069884,3,2016
20,73298,38,4314100,23.0,0.7931034564971924,0.26153963804244995,3.055928095924615,4,2016
20,111738,90,4314100,12.0,0.8571428656578064,-1.0695570707321167,1.9615427722050347,3,2016
20,1279396,90,4313706,1.0,0.3333333432674408,,2.4252740347892274,3,2016
20,115482,95,4314100,45.0,0.7377049326896667,-0.7816593647003174,1.7653093893919118,2,2016
20,98359,3501,4314100,20.0,0.5555555820465088,2.4134061336517334,3.219073870189553,4,2016
21,1883,6,4314902,65.0,0.9285714030265808,0.2584684193134308,3.468470488639364,4,2016
21,1879,12,4314902,67.0,0.9852941036224365,0.16924750804901123,3.571697068662894,4,2016
21,1924,19,4314902,38.0,0.6229507923126221,0.4467465281486511,3.389695600233172,4,2016
21,19334,23,4314902,43.0,0.8269230723381042,-0.3711387515068054,3.254379847110486,4,2016
21,56696,28,4314902,46.0,0.7796609997749329,-0.7775419354438782,2.9830687131479743,4,2016
21,39516,36,4314902,29.0,0.8285714387893677,0.12979473173618317,3.2455465582544245,4,2016
21,1887,38,4314902,45.0,0.8035714030265808,-0.8821830749511719,3.3158655116776634,4,2016
21,89146,3501,4314902,53.0,0.5047619342803955,-0.17004810273647308,3.051338144425337,4,2016
22,79574,19,3550308,55.0,0.7857142686843872,0.044980280101299286,3.2507126500220935,4,2016
22,98389,28,3550308,20.0,0.7692307829856873,1.786414623260498,3.6662719447265526,4,2016
22,98387,36,3505708,7.0,0.875,3.5424630641937256,4.2145186213731085,5,2016
22,341878,3501,3505708,26.0,0.8387096524238586,1.3216824531555176,3.3725741501822717,4,2016
23,39975,19,4313409,14.0,0.3255814015865326,2.4713494777679443,3.6526161722316495,4,2016
23,39925,23,4313409,49.0,0.4757281541824341,0.582736611366272,3.1734939034318264,4,2016
23,39745,28,4313409,12.0,0.375,1.1308451890945435,3.2241645222743194,4,2016
23,2089,36,4313409,17.0,0.3541666567325592,0.8110461831092834,3.302073595465322,4,2016
23,39454,55,4313409,45.0,0.75,0.3467414081096649,3.4124372505294343,4,2016
23,1115843,91,4313409,,,,,SC,2016
23,1115799,92,4313409,9.0,0.692307710647583,2.4824037551879883,3.5330083740876392,4,2016
23,1172141,95,4313409,15.0,0.5357142686843872,0.9691494107246399,3.4418449231780666,4,2016
23,102834,3501,4313409,14.0,0.4375,1.2172855138778687,3.1397549290282076,4,2016
24,18310,5,2913606,46.0,0.7796609997749329,-0.177402526140213,3.073502606668106,4,2016
24,49910,12,2913606,34.0,0.9189189076423645,1.2483172416687012,3.5407097648288857,4,2016
24,2113,17,2913606,20.0,0.7142857313156128,1.3827404975891113,3.768873736643578,4,2016
24,2112,23,2913606,43.0,0.9347826242446899,-0.8484049439430237,2.6278106642297887,3,2016
24,79576,55,2913606,14.0,0.875,1.1676249504089355,3.3638313619131974,4,2016
27,47273,5,3169307,19.0,0.7307692170143127,-0.6134899854660034,2.746456309105143,3,2016
27,2147,6,3169307,22.0,0.7857142686843872,-0.637025773525238,2.353147168066369,3,2016
27,63696,6,3106200,19.0,0.3799999952316284,-2.8959672451019287,1.0663635154945073,2,2016
27,47181,17,3169307,14.0,0.6666666865348816,0.607664167881012,3.2917538982639165,4,2016
27,20056,19,3169307,17.0,0.7727272510528564,-0.7888280153274536,2.6796200142857995,3,2016
27,63670,23,3169307,10.0,0.9090909361839294,2.5749218463897705,3.548093764048818,4,2016
27,101235,38,3169307,6.0,1.0,0.05460359528660774,3.100290208690749,4,2016
27,91271,95,3169307,12.0,0.8571428656578064,1.1146451234817505,3.502407624356561,4,2016
27,1150273,3501,3169307,7.0,0.5,1.0738933086395264,2.7090610190204445,3,2016
29,2191,5,2304400,32.0,0.6274510025978088,0.059406451880931854,3.039074657400803,4,2016
29,66248,12,2304400,27.0,1.0,1.3311158418655396,3.6823572604095496,4,2016
29,2192,23,2304400,45.0,0.8999999761581421,0.17590276896953583,3.3691879679839087,4,2016
29,2202,28,2304400,61.0,0.8970588445663452,0.4951109290122986,3.1945505177150517,4,2016
29,2214,38,2304400,136.0,0.8047337532043457,-3.05057430267334,2.3836632382062333,3,2016
30,2295,5,3101607,30.0,0.8823529481887817,0.5921733379364014,3.648356551475627,4,2016
30,2297,6,3101607,105.0,0.9292035102844238,0.058852341026067734,3.154331275041534,4,2016
30,20815,6,3170701,33.0,0.8048780560493469,0.12692533433437347,3.238474249133994,4,2016
30,2304,12,3101607,149.0,0.9197530746459961,-0.5313680171966553,2.827586977391873,3,2016
30,64918,12,3106200,136.0,0.8292682766914368,-0.29142290353775024,2.9237486779529998,3,2016
30,2298,17,3101607,17.0,0.8947368264198303,-2.1229512691497803,3.3590352134491765,4,2016
30,21613,23,3101607,15.0,0.9375,-0.360216349363327,3.2057105968883395,4,2016
30,64916,23,3106200,24.0,0.6315789222717285,1.3605639934539795,3.561584342041936,4,2016
30,64888,55,3122306,16.0,0.800000011920929,-0.49115386605262756,2.999526701360924,4,2016
30,72712,55,3106200,24.0,0.6857143044471741,-0.16273845732212067,3.1598985728783924,4,2016
30,72714,55,3101607,20.0,1.0,-1.0545523166656494,2.9985651879143997,4,2016
30,102550,3501,3101607,27.0,0.8181818127632141,-0.6184207797050476,3.192854294515769,4,2016
32,2348,12,2704302,39.0,0.8297872543334961,-1.2415536642074585,2.044761552671863,3,2016
32,1122371,23,2704302,40.0,0.8510638475418091,0.5860119462013245,2.85674324414983,3,2016
32,2350,27,2704302,22.0,0.9166666865348816,-0.07045668363571167,2.3797569576079454,3,2016
32,2351,36,2704302,32.0,0.8205128312110901,0.2641866207122803,2.889412933176279,3,2016
32,102302,69,2704302,48.0,0.8421052694320679,-0.905316174030304,1.7855868424182926,2,2016
40,2442,17,2918407,34.0,0.7906976938247681,-12.949109077453613,1.260058512487467,2,2016
40,20579,17,2903201,54.0,0.75,-0.5092423558235168,2.2546604456284016,3,2016
40,91531,19,2927408,10.0,0.8333333134651184,0.1278248131275177,2.7806529765773815,3,2016
40,20784,23,2927408,22.0,0.8799999952316284,-0.6247047185897827,2.7244951310540757,3,2016
40,91801,23,2911709,21.0,0.9545454382896423,0.33814549446105957,2.5589577087054796,3,2016
40,112478,23,2930105,23.0,1.0,0.6226662993431091,2.8913040684314035,3,2016
40,20783,27,2927408,36.0,0.8999999761581421,0.37297508120536804,2.66591995720212,3,2016
40,2451,28,2927408,31.0,0.8857142925262451,-0.7251029014587402,2.4676440483661244,3,2016
40,91533,36,2927408,34.0,0.8292682766914368,0.7125688791275024,2.886174299556135,3,2016
43,2535,5,4209300,39.0,0.795918345451355,0.15389728546142578,3.0290215006876036,4,2016
43,2536,17,4209300,31.0,0.6458333134651184,1.1786885261535645,3.5166853167660266,4,2016
43,74136,23,4204202,16.0,0.9411764740943909,0.8123536109924316,2.809477931309083,3,2016
43,2544,36,4205407,11.0,0.9166666865348816,2.5685908794403076,3.5240185342838473,4,2016
43,74134,51,4204202,24.0,0.8571428656578064,4.690530776977539,3.52555475906152,4,2016
43,123128,3501,4205407,13.0,0.5909090638160706,-0.28957420587539673,2.994707599722137,4,2016
47,54504,17,5210109,67.0,0.7976190447807312,-0.004469025880098343,2.7340403497416337,3,2016
47,100150,17,5215702,13.0,0.6842105388641357,-0.6510767340660095,2.737654735270056,3,2016
47,21868,19,5201108,35.0,0.9210526347160339,-0.0057062203995883465,2.938041266622628,3,2016
47,1141969,19,5211503,28.0,0.7567567825317383,-0.10831359773874283,2.366469083020834,3,2016
47,99822,23,5205406,24.0,0.9230769276618958,-0.6002601981163025,2.237792741114208,3,2016
47,1141691,23,5211503,8.0,0.4000000059604645,0.061249107122421265,2.3641591720395976,3,2016
47,21782,36,5208707,33.0,0.8048780560493469,-0.8221443295478821,2.50485662975633,3,2016
47,39235,51,5220108,36.0,0.8181818127632141,0.1321210414171219,2.8802306554957147,3,2016
47,1206391,90,5207402,10.0,0.4166666567325592,-4.150793552398682,1.8988621372348478,2,2016
47,1206392,90,5204904,19.0,0.7916666865348816,-2.132542610168457,1.949009254578038,3,2016
47,1206568,95,5208707,22.0,0.7096773982048035,-0.3298117518424988,2.4091277542458505,3,2016
54,2694,6,3538709,78.0,0.9873417615890503,-0.11286994814872742,3.6335842015449433,4,2016
54,2695,12,3509502,102.0,0.9622641801834106,0.1161099523305893,3.6987605762410327,4,2016
54,68829,19,3509502,27.0,0.931034505367279,-1.045033574104309,3.46182842639291,4,2016
