area,nomarea,ies,nomies,ca,curso,N,enade,ce,ano
2,DIREITO,694,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,Pessoa Jurídica de Direito Público - Federal,52128,62,2.572423812,3,2018
1,ADMINISTRAÇÃO,694,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,Pessoa Jurídica de Direito Público - Federal,52130,28,2.540538528,3,2018
1,ADMINISTRAÇÃO,694,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,Pessoa Jurídica de Direito Público - Federal,52136,25,3.461152999,4,2018
18,PSICOLOGIA,694,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,Pessoa Jurídica de Direito Público - Federal,52141,11,2.144245548,3,2018
18,PSICOLOGIA,441,UNIVERSIDADE DO CONTESTADO,Privada sem fins lucrativos,52185,29,1.671998363,2,2018
804,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,19,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,Privada sem fins lucrativos,52192,152,2.605296708,3,2018
2,DIREITO,95,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,Pessoa Jurídica de Direito Público - Estadual,52238,107,3.333116013,4,2018
1,ADMINISTRAÇÃO,441,UNIVERSIDADE DO CONTESTADO,Privada sem fins lucrativos,52246,11,2.664399885,3,2018
2,DIREITO,572,UNIVERSIDADE FEDERAL FLUMINENSE,Pessoa Jurídica de Direito Público - Federal,52258,106,3.185114651,4,2018
1,ADMINISTRAÇÃO,1365,CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,52352,49,2.45615043,3,2018
104,TECNOLOGIA EM DESIGN GRÁFICO,1120,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE",Pessoa Jurídica de Direito Público - Federal,52437,103,3.289921542,4,2018
22,CIÊNCIAS CONTÁBEIS,1598,FACULDADE UNA DE UBERLÂNDIA,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,52445,35,2.505725051,3,2018
2,DIREITO,437,UNIVERSIDADE PARANAENSE,Privada sem fins lucrativos,52458,46,1.925696837,2,2018
1,ADMINISTRAÇÃO,437,UNIVERSIDADE PARANAENSE,Privada sem fins lucrativos,52461,25,2.910141265,3,2018
101,TEOLOGIA,11,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,Privada sem fins lucrativos,52551,26,2.412422824,3,2018
